id,prompt,function
9499,"Find all spaces on the 4th floor where the volume is less than 300 cubic meters.","[space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [3]) if calculate_element_volume(space) < 300]"
9500,"Get the beams from the 1st and 3rd floors with a width greater than 0.7 meters.","[beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [0, 2]) if calculate_element_width(beam) > 0.7]"
9501,"Select all walls from the 5th floor with an area smaller than 90 square meters.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [4]) if calculate_element_area(wall) < 90]"
9502,"List all windows from the 2nd and 3rd floors where the height exceeds 2 meters.","[window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [1, 2]) if calculate_element_height(window) > 2]"
9503,"Show all columns on the 1st and 4th floors with a height greater than 4 meters.","[column for column in get_elements_by_floors_and_types(ifc_obj, ['IfcColumn'], [0, 3]) if calculate_element_height(column) > 4]"
9504,"Find the doors on the 2nd floor that have a width smaller than 1.1 meters.","[door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [1]) if calculate_element_width(door) < 1.1]"
9505,"Retrieve all beams from the 5th floor with a thickness greater than 0.25 meters.","[beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [4]) if calculate_element_thickness(beam) > 0.25]"
9506,"Fetch the walls from the 2nd and 4th floors that have an area less than 70 square meters.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [1, 3]) if calculate_element_area(wall) < 70]"
9507,"Show all doors on the 3rd and 4th floors where the height exceeds 2.5 meters.","[door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [2, 3]) if calculate_element_height(door) > 2.5]"
9508,"List all spaces from the 2nd and 3rd floors with a volume of more than 250 cubic meters.","[space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [1, 2]) if calculate_element_volume(space) > 250]"
9509,"Get all windows from the ground floor and 1st floor that have a height smaller than 1.75 meters.","[window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [0, 1]) if calculate_element_height(window) < 1.75]"
9510,"Find all walls on the 5th floor where the thickness is greater than 0.3 meters.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [4]) if calculate_element_thickness(wall) > 0.3]"
9511,Count the walls from the 1st and 2nd floors with an area greater than 50 square meters.,"len([wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [0, 1]) if calculate_element_area(wall) > 50])"
9512,How many doors from the 2nd and 3rd floors where the width is less than 1.2 meters.,"len([door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [1, 2]) if calculate_element_width(door) < 1.2])"
9513,How many beams are there the 1st and 3rd floors that are longer than 5 meters.,"len([beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [0, 2]) if calculate_element_length(beam) > 5])"
9514,Count spaces from the 2nd and 4th floors with a volume greater than 200 cubic meters.,"len([space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [1, 3]) if calculate_element_volume(space) > 200])"
9515,Count columns from the 2nd floor with a height greater than 3 meters.,"len([column for column in get_elements_by_floors_and_types(ifc_obj, ['IfcColumn'], [1]) if calculate_element_height(column) > 3])"
9516,Count windows from the 4th floor where the height is less than 1.8 meters.,"len([window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [3]) if calculate_element_height(window) < 1.8])"
9517,Count doors from the 1st and 2nd floors with a width greater than 1.5 meters.,"len([door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [0, 1]) if calculate_element_width(door) > 1.5])"
9518,Count all beams from the 1st floor that are taller than 2 meters.,"len([beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [0]) if calculate_element_height(beam) > 2])"
9519,what is the count of spaces from the 2nd and 3rd floors with a volume smaller than 150 cubic meters.,"len([space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [1, 2]) if calculate_element_volume(space) < 150])"
9520,Count the walls from the 5th floor that have an area larger than 90 square meters.,"len([wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [4]) if calculate_element_area(wall) > 90])"
9600,Count all the windows from the 1st and 2nd floors.,"len([window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [0, 1])])"
9601,Count the doors from the 1st floor.,"len([door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [0])])"
9602,Count the walls from the 2nd floor.,"len([wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [1])])"
9603,Count the beams from the 4th floor.,"len([beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [3])])"
9604,Count the doors from the 1st floor with height greater than 1.8 meters.,"len([door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [0]) if calculate_element_height(door) > 1.8])"
9605,Count the windows from the 2nd floor.,"len([window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [1])])"
9606,Count the beams from the 4th floor with a length greater than 5 meters.,"len([beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [3]) if calculate_element_length(beam) > 5])"
9607,Count the walls from the 1st floor with an area greater than 50 square meters.,"len([wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [0]) if calculate_element_area(wall) > 50])"
9608,Count the doors from the 1st floor with a width greater than 1.5 meters.,"len([door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [0]) if calculate_element_width(door) > 1.5])"
9609,Count the spaces from the 2nd floor with an area greater than 100 square meters.,"len([space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [1]) if calculate_element_area(space) > 100])"
9610,Count all the walls from the 1st floor with a volume greater than 10 cubic meters.,"len([wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [0]) if calculate_element_volume(wall) > 10])"
9611,"Count the doors from the 2nd floor with a height greater than 2 meters.","len([door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [1]) if calculate_element_height(door) > 2])"
9612,"Count the spaces from the 3rd floor with an area greater than 150 square meters.","len([space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [2]) if calculate_element_area(space) > 150])"
9613,"Count the windows from the 3rd floor.","len([window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [2])])"
9614,"Count all the walls from the 2nd and 3rd floors.","len([wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [1, 2])])"
9615,"Count the columns from the 2nd floor with height greater than 3 meters.","len([column for column in get_elements_by_floors_and_types(ifc_obj, ['IfcColumn'], [1]) if calculate_element_height(column) > 3])"
9616,"Count the beams from the 4th floor with width greater than 0.5 meters.","len([beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [3]) if calculate_element_width(beam) > 0.5])"
9617,"Count the walls from the 1st floor with a thickness greater than 0.3 meters.","len([wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [0]) if calculate_element_thickness(wall) > 0.3])"
9618,"Count the spaces from the 2nd floor with a volume greater than 200 cubic meters.","len([space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [1]) if calculate_element_volume(space) > 200])"
9619,"Count all the doors from the 3rd floor.","len([door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [2])])"
9620,"Count all the windows on the 2nd and 3rd floors.","len([window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [1, 2])])"
9621,"Count the doors from the ground floor with a width larger than 1 meter.","len([door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [0]) if calculate_element_width(door) > 1.0])"
9622,"Count all walls from the 1st floor that are taller than 2.5 meters.","len([wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [0]) if calculate_element_height(wall) > 2.5])"
9623,"Count the beams on the 3rd floor that are longer than 6 meters.","len([beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [2]) if calculate_element_length(beam) > 6])"
9624,"Count all the doors on the 1st floor that have a height greater than 2 meters.","len([door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [0]) if calculate_element_height(door) > 2])"
9625,"Count all windows from the 4th floor.","len([window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [3])])"
9626,"Count the beams from the 5th floor that are wider than 0.8 meters.","len([beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [4]) if calculate_element_width(beam) > 0.8])"
9627,"Count the walls on the ground floor that have an area larger than 60 square meters.","len([wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [0]) if calculate_element_area(wall) > 60])"
9628,"Count all doors on the 1st floor where the width exceeds 1.2 meters.","len([door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [0]) if calculate_element_width(door) > 1.2])"
9629,"Count the spaces from the 2nd floor with an area more than 120 square meters.","len([space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [1]) if calculate_element_area(space) > 120])"
9630,"Count all walls on the 3rd floor with a volume greater than 20 cubic meters.","len([wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [2]) if calculate_element_volume(wall) > 20])"
9631,"Count all the doors on the 2nd floor with a height exceeding 2.2 meters.","len([door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [1]) if calculate_element_height(door) > 2.2])"
9632,"Count the windows on the 4th floor.","len([window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [3])])"
9633,"Count the doors from the 3rd floor where the width is larger than 1.5 meters.","len([door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [2]) if calculate_element_width(door) > 1.5])"
9634,"Count the walls on the 5th floor with an area more than 75 square meters.","len([wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [4]) if calculate_element_area(wall) > 75])"
9635,"Count all spaces on the 2nd floor that have a volume greater than 250 cubic meters.","len([space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [1]) if calculate_element_volume(space) > 250])"
9636,"Count the windows from the 1st floor with height more than 1.5 meters.","len([window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [0]) if calculate_element_height(window) > 1.5])"
9637,"Count all beams on the 4th floor that are taller than 2 meters.","len([beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [3]) if calculate_element_height(beam) > 2])"
9638,"Count the walls from the 1st and 2nd floors that have a thickness greater than 0.25 meters.","len([wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [0, 1]) if calculate_element_thickness(wall) > 0.25])"
9639,"Count all spaces from the 3rd floor with an area larger than 90 square meters.","len([space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [2]) if calculate_element_area(space) > 90])"
9640,"Count the doors from the 2nd floor that have a height of more than 2.4 meters.","len([door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [1]) if calculate_element_height(door) > 2.4])"
9640,"Count the doors from the 2nd floor that have a height of more than 2.4 meters.","len([door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [1]) if calculate_element_height(door) > 2.4])"
9641,"Count the walls on the 3rd floor with a volume exceeding 15 cubic meters.","len([wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [2]) if calculate_element_volume(wall) > 15])"
9642,"Count the windows from the 5th floor.","len([window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [4])])"
9643,"Count all beams on the 2nd floor that are longer than 4 meters.","len([beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [1]) if calculate_element_length(beam) > 4])"
9644,"Count the walls on the 4th floor that have an area greater than 85 square meters.","len([wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [3]) if calculate_element_area(wall) > 85])"
9645,"Count all doors on the 3rd floor that are taller than 2 meters.","len([door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [2]) if calculate_element_height(door) > 2])"
9646,"Count the walls on the ground floor with a thickness exceeding 0.2 meters.","len([wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [0]) if calculate_element_thickness(wall) > 0.2])"
9647,"Count the spaces on the 2nd floor with a volume greater than 300 cubic meters.","len([space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [1]) if calculate_element_volume(space) > 300])"
9648,"Count the doors on the 1st floor with a width greater than 1.8 meters.","len([door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [0]) if calculate_element_width(door) > 1.8])"
9649,"Count all walls on the 5th floor that have a height larger than 3 meters.","len([wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [4]) if calculate_element_height(wall) > 3])"
9650,"Count all the walls from the 1st and 2nd floors with an area greater than 50 square meters.","len([wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [0, 1]) if calculate_element_area(wall) > 50])"
9651,"Count all doors from the 2nd and 3rd floors where the width is less than 1.2 meters.","len([door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [1, 2]) if calculate_element_width(door) < 1.2])"
9652,"Count all beams on the 1st and 3rd floors with a height exceeding 3 meters.","len([beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [0, 2]) if calculate_element_height(beam) > 3])"
9653,"Count all spaces from the 2nd and 4th floors that have an area larger than 100 square meters.","len([space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [1, 3]) if calculate_element_area(space) > 100])"
9654,"Count all walls from the 1st and 3rd floors where the volume is less than 25 cubic meters.","len([wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [0, 2]) if calculate_element_volume(wall) < 25])"
9655,"Count all windows from the 2nd and 3rd floors that are taller than 1.5 meters.","len([window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [1, 2]) if calculate_element_height(window) > 1.5])"
9656,"Count all columns on the 2nd floor with a height smaller than 4 meters.","len([column for column in get_elements_by_floors_and_types(ifc_obj, ['IfcColumn'], [1]) if calculate_element_height(column) < 4])"
9657,"Count all doors from the 3rd and 4th floors where the width is greater than 1 meter.","len([door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [2, 3]) if calculate_element_width(door) > 1])"
9658,"Count all beams from the 1st and 2nd floors that have a length less than 5 meters.","len([beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [0, 1]) if calculate_element_length(beam) < 5])"
9659,"Count all spaces on the 2nd and 4th floors with a volume greater than 200 cubic meters.","len([space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [1, 3]) if calculate_element_volume(space) > 200])"
9660,"Count all walls on the 1st and 3rd floors where the thickness is less than 0.3 meters.","len([wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [0, 2]) if calculate_element_thickness(wall) < 0.3])"
9611,"Count all walls from the 1st and 2nd floors with an area greater than 50 square meters.","len([wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [0, 1]) if calculate_element_area(wall) > 50])"
9612,"Count all doors from the 2nd and 3rd floors where the width is less than 1.2 meters.","len([door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [1, 2]) if calculate_element_width(door) < 1.2])"
9613,"Count the beams from the 1st and 3rd floors that are longer than 5 meters.","len([beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [0, 2]) if calculate_element_length(beam) > 5])"
9614,"Count the spaces from the 2nd and 4th floors with a volume greater than 200 cubic meters.","len([space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [1, 3]) if calculate_element_volume(space) > 200])"
9615,"Count the columns from the 2nd floor with a height greater than 3 meters.","len([column for column in get_elements_by_floors_and_types(ifc_obj, ['IfcColumn'], [1]) if calculate_element_height(column) > 3])"
9616,"Count all windows from the 4th floor where the height is less than 1.8 meters.","len([window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [3]) if calculate_element_height(window) < 1.8])"
9617,"Count the doors from the 1st and 2nd floors with a width greater than 1.5 meters.","len([door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [0, 1]) if calculate_element_width(door) > 1.5])"
9618,"Count all beams from the 1st floor that are taller than 2 meters.","len([beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [0]) if calculate_element_height(beam) > 2])"
9619,"Count the spaces from the 2nd and 3rd floors with a volume smaller than 150 cubic meters.","len([space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [1, 2]) if calculate_element_volume(space) < 150])"
9620,"Count the walls from the 5th floor that have an area larger than 90 square meters.","len([wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [4]) if calculate_element_area(wall) > 90])"
9621,"Count the number of windows on the 3rd and 4th floors that are taller than 1.7 meters.","len([window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [2, 3]) if calculate_element_height(window) > 1.7])"
9622,"Count all doors on the 2nd floor that have a width greater than 1 meter.","len([door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [1]) if calculate_element_width(door) > 1])"
9623,"How many beams on the 1st and 3rd floors are longer than 6 meters?","len([beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [0, 2]) if calculate_element_length(beam) > 6])"
9624,"Find the number of walls on the 2nd floor with an area greater than 100 square meters.","len([wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [1]) if calculate_element_area(wall) > 100])"
9625,"How many spaces on the ground and 1st floors have a volume smaller than 300 cubic meters?","len([space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [0, 1]) if calculate_element_volume(space) < 300])"
9626,"Count the walls on the 4th and 5th floors where the thickness is more than 0.35 meters.","len([wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [3, 4]) if calculate_element_thickness(wall) > 0.35])"
9627,"Find the number of windows on the 2nd and 3rd floors with a height less than 1.5 meters.","len([window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [1, 2]) if calculate_element_height(window) < 1.5])"
9628,"Count all doors on the 1st and 2nd floors that have a width smaller than 1.4 meters.","len([door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [0, 1]) if calculate_element_width(door) < 1.4])"
9629,"How many columns on the 2nd and 4th floors are taller than 4 meters?","len([column for column in get_elements_by_floors_and_types(ifc_obj, ['IfcColumn'], [1, 3]) if calculate_element_height(column) > 4])"
9630,"Find the number of walls on the 5th floor with a volume smaller than 20 cubic meters.","len([wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [4]) if calculate_element_volume(wall) < 20])"
9631,"How many beams on the 3rd floor are wider than 0.6 meters?","len([beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [2]) if calculate_element_width(beam) > 0.6])"
9632,"Count the spaces on the ground and 2nd floors with an area greater than 120 square meters.","len([space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [0, 1]) if calculate_element_area(space) > 120])"
9633,"How many walls on the 4th floor have a thickness less than 0.25 meters?","len([wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [3]) if calculate_element_thickness(wall) < 0.25])"
9634,"Count the windows on the 1st floor that have a height exceeding 2 meters.","len([window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [0]) if calculate_element_height(window) > 2])"
9635,"Find the number of beams on the 2nd floor that are shorter than 3 meters.","len([beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [1]) if calculate_element_length(beam) < 3])"
9636,"How many doors on the 3rd floor have a width less than 1.1 meters?","len([door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [2]) if calculate_element_width(door) < 1.1])"
9637,"Count all walls on the 2nd and 3rd floors that have an area smaller than 80 square meters.","len([wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [1, 2]) if calculate_element_area(wall) < 80])"
9638,"Find the number of doors on the 4th and 5th floors that are taller than 2.5 meters.","len([door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [3, 4]) if calculate_element_height(door) > 2.5])"
9639,"Count the beams on the 1st and 3rd floors with a width larger than 0.75 meters.","len([beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [0, 2]) if calculate_element_width(beam) > 0.75])"
9640,"How many spaces on the 2nd floor have a volume exceeding 350 cubic meters?","len([space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [1]) if calculate_element_volume(space) > 350])"
